,Actor2CountryCode,MonthYear,Count
1107,LTU,202006,6
1108,BEL,202006,11
1109,BEL,202008,53
1110,TWN,202008,7
1111,ITA,202009,25
1112,CHN,201704,9
1113,ITA,201805,78
1114,CHE,201709,3
1115,FIN,201701,6
1116,POL,201612,73
1117,AZE,201705,7
1118,DEU,201912,47
1119,TGO,201709,1
1120,POL,201807,91
1121,RUS,201807,141
1122,MAR,201610,2
1123,BGD,201803,2
1124,RUS,201510,43
1125,SWE,201601,10
1126,NOR,201904,2
1127,PRT,201707,5
1128,TUR,201609,156
1129,OMN,201609,4
1130,LTU,201903,11
1131,GRC,201711,8
1132,BGD,201901,32
1133,AFG,201608,7
1134,POL,201607,166
1135,EGY,201809,4
1136,BEL,201906,19
1137,BLR,202001,3
1138,BLR,201603,8
1139,QAT,201704,1
1140,JPN,201512,3
1141,GBR,202010,14
1142,LTU,201510,5
1143,ISR,201801,7
1144,MNG,201511,2
1145,PAN,201604,4
1146,GBR,202002,61
1147,RUS,201501,4
1148,UKR,202001,9
1149,MEX,201809,2
1150,WST,201910,1
1151,LVA,201910,7
1152,THA,201602,1
1153,VNM,201802,2
1154,PER,201712,1
1155,UGA,201608,1
1156,MWI,201702,1
1157,KGZ,201702,2
1158,FIN,201912,5
1159,PRK,201707,1
1160,UZB,202004,1
1161,GRC,202004,11
1162,GBR,202005,43
1163,MDA,202005,17
1164,SVK,202009,255
1165,SWE,201612,12
1166,GRC,201610,12
1167,MKD,201711,27
1168,LUX,201709,16
1169,ISR,201912,22
1170,,201706,2265
1171,CZE,201605,155
1172,WST,201510,41
1173,SYR,201605,89
1174,HUN,201601,139
1175,SYR,201604,7
1176,DEU,201712,28
1177,ARE,201712,1
1178,PAK,201902,1
1179,USA,201604,44
1180,ARM,201510,5
1181,FRA,201707,46
1182,CZE,201609,354
1183,UKR,201903,35
1184,CHN,201609,9
1185,PRT,201901,3
1186,UKR,201807,165
1187,NPL,201608,2
1188,TWN,201608,2
1189,ZWE,201608,2
1190,ETH,201507,3
1191,EUR,202001,28
1192,DNK,201805,3
1193,LUX,201701,1
1194,TUR,201810,41
1195,HUN,202010,22
1196,HRV,201910,12
1197,EGY,201508,1
1198,FRA,201909,36
1199,ALB,201902,2
1200,CZE,201812,107
1201,WST,201812,2
1202,UGA,201508,3
1203,ZWE,201511,1
1204,LVA,201906,7
1205,HRV,201906,9
1206,JPN,201704,12
1207,EST,201803,12
1208,EST,201711,8
1209,AUT,201812,29
1210,CAN,202002,7
1211,MDV,202005,1
1212,SWE,201606,16
1213,PRT,201607,17
1214,ERI,201510,1
1215,EGY,201507,1
1216,IRQ,201905,1
1217,DJI,201711,1
1218,JOR,201702,4
1219,ESP,201910,2
1220,TKM,201811,1
1221,CUB,201809,3
1222,ALB,201807,7
1223,AFG,201708,3
1224,SRB,201501,1
1225,AUT,202010,4
1226,JOR,201606,1
1227,AFG,201607,5
1228,CZE,202003,118
1229,FRA,202004,7
1230,AFG,202004,5
1231,DNK,202007,4
1232,DZA,202008,2
1233,EUR,201709,224
1234,LTU,201805,15
1235,POL,201703,179
1236,FRA,201703,17
1237,KGZ,201612,5
1238,AUT,201611,20
1239,CYP,201705,13
1240,SVK,201912,238
1241,AZE,201912,72
1242,TUN,201507,8
1243,BLR,202012,9
1244,EUR,201511,150
1245,GBR,201602,83
1246,NOR,201612,9
1247,POL,201504,86
1248,USA,201904,99
1249,BRA,201904,3
